invoice_no,customer_id,country,invoice_date,invoice_month,total_quantity,order_revenue,unique_products
536395,13767,United Kingdom,2010-12-01 10:47:00,2010-12,260,507.88,14
536396,17850,United Kingdom,2010-12-01 10:51:00,2010-12,102,376.36,18
536397,17924,United Kingdom,2010-12-01 10:51:00,2010-12,60,279.0,2
536398,13448,United Kingdom,2010-12-01 10:52:00,2010-12,150,426.56,17
536399,17850,United Kingdom,2010-12-01 10:52:00,2010-12,12,22.200000000000003,2
536400,13448,United Kingdom,2010-12-01 10:53:00,2010-12,12,17.4,1
536401,15862,United Kingdom,2010-12-01 11:21:00,2010-12,124,354.23,64
536402,15513,United Kingdom,2010-12-01 11:22:00,2010-12,116,357.0,3
536403,12791,Netherlands,2010-12-01 11:27:00,2010-12,97,192.60000000000002,2
536404,16218,United Kingdom,2010-12-01 11:29:00,2010-12,438,471.3,28
536405,14045,United Kingdom,2010-12-01 11:32:00,2010-12,128,326.4,1
536406,17850,United Kingdom,2010-12-01 11:33:00,2010-12,96,353.14,17
536407,17850,United Kingdom,2010-12-01 11:34:00,2010-12,12,22.200000000000003,2
536408,14307,United Kingdom,2010-12-01 11:41:00,2010-12,558,783.11,48
536409,17908,United Kingdom,2010-12-01 11:45:00,2010-12,173,243.28,51
536412,17920,United Kingdom,2010-12-01 11:49:00,2010-12,220,514.41,54
536415,12838,United Kingdom,2010-12-01 11:57:00,2010-12,228,390.79,59
536416,13255,United Kingdom,2010-12-01 11:58:00,2010-12,110,225.7,6
536420,16583,United Kingdom,2010-12-01 12:03:00,2010-12,111,233.45,14
536423,18085,United Kingdom,2010-12-01 12:08:00,2010-12,78,303.9,9
536425,13758,United Kingdom,2010-12-01 12:08:00,2010-12,137,362.45,17
536437,13694,United Kingdom,2010-12-01 12:12:00,2010-12,1004,842.12,6
536446,15983,United Kingdom,2010-12-01 12:15:00,2010-12,329,440.89,28
536460,14849,United Kingdom,2010-12-01 12:22:00,2010-12,158,295.54,14
536463,14849,United Kingdom,2010-12-01 12:22:00,2010-12,12,17.4,1
536464,17968,United Kingdom,2010-12-01 12:23:00,2010-12,160,277.35,74
536466,14849,United Kingdom,2010-12-01 12:23:00,2010-12,18,42.9,2
536477,16210,United Kingdom,2010-12-01 12:27:00,2010-12,1070,2474.7400000000002,14
536488,17897,United Kingdom,2010-12-01 12:31:00,2010-12,72,165.89,31
536500,17377,United Kingdom,2010-12-01 12:35:00,2010-12,102,223.9,15
536502,16552,United Kingdom,2010-12-01 12:36:00,2010-12,39,95.29,5
536508,17181,United Kingdom,2010-12-01 12:38:00,2010-12,216,155.52,2
536514,17951,United Kingdom,2010-12-01 12:40:00,2010-12,118,295.5,5
536520,14729,United Kingdom,2010-12-01 12:43:00,2010-12,197,313.49,69
536521,12748,United Kingdom,2010-12-01 12:48:00,2010-12,1,4.95,1
536522,15012,United Kingdom,2010-12-01 12:49:00,2010-12,86,191.06,46
536523,12868,United Kingdom,2010-12-01 12:50:00,2010-12,112,203.3,12
536524,17572,United Kingdom,2010-12-01 12:51:00,2010-12,24,70.80000000000001,4
536525,14078,United Kingdom,2010-12-01 12:54:00,2010-12,29,136.24,13
536526,14001,United Kingdom,2010-12-01 12:58:00,2010-12,94,301.24,9
536527,12662,Germany,2010-12-01 13:04:00,2010-12,157,261.48,15
536528,15525,United Kingdom,2010-12-01 13:17:00,2010-12,124,313.93,44
536529,14237,United Kingdom,2010-12-01 13:20:00,2010-12,38,161.0,9
536530,17905,United Kingdom,2010-12-01 13:21:00,2010-12,72,201.75,22
536531,15485,United Kingdom,2010-12-01 13:23:00,2010-12,416,950.09,22
536532,12433,Norway,2010-12-01 13:24:00,2010-12,1852,1919.1399999999999,73
536533,16955,United Kingdom,2010-12-01 13:31:00,2010-12,80,156.1,6
536534,15350,United Kingdom,2010-12-01 13:33:00,2010-12,51,115.65,5
536535,15605,United Kingdom,2010-12-01 13:38:00,2010-12,71,194.85000000000002,12
536536,18144,United Kingdom,2010-12-01 13:45:00,2010-12,95,165.04999999999998,3
536537,15922,United Kingdom,2010-12-01 13:51:00,2010-12,138,369.5,11
536538,14594,United Kingdom,2010-12-01 13:54:00,2010-12,146,255.0,31
536539,15165,United Kingdom,2010-12-01 14:03:00,2010-12,160,487.75,27
536540,14911,EIRE,2010-12-01 14:05:00,2010-12,231,540.38,20
536541,14911,EIRE,2010-12-01 14:05:00,2010-12,12,15.0,1
536542,16456,United Kingdom,2010-12-01 14:11:00,2010-12,392,787.4,16
536551,17346,United Kingdom,2010-12-01 14:34:00,2010-12,88,146.61,29
536556,17643,United Kingdom,2010-12-01 14:38:00,2010-12,71,101.55,8
536557,17841,United Kingdom,2010-12-01 14:41:00,2010-12,199,537.38,62
536559,17873,United Kingdom,2010-12-01 14:54:00,2010-12,129,215.14999999999998,7
536560,13093,United Kingdom,2010-12-01 15:00:00,2010-12,256,799.4,13
536561,12921,United Kingdom,2010-12-01 15:06:00,2010-12,140,322.40000000000003,15
536562,13468,United Kingdom,2010-12-01 15:08:00,2010-12,99,308.65000000000003,18
536563,17760,United Kingdom,2010-12-01 15:08:00,2010-12,165,172.54,9
536564,13468,United Kingdom,2010-12-01 15:08:00,2010-12,12,51.4,2
536566,16928,United Kingdom,2010-12-01 15:21:00,2010-12,93,116.25,6
536567,16048,United Kingdom,2010-12-01 15:27:00,2010-12,132,251.40000000000003,7
536568,16048,United Kingdom,2010-12-01 15:28:00,2010-12,12,5.04,1
536569,16274,United Kingdom,2010-12-01 15:35:00,2010-12,155,357.95,64
536570,14496,United Kingdom,2010-12-01 15:35:00,2010-12,86,304.34000000000003,5
536571,14696,United Kingdom,2010-12-01 15:37:00,2010-12,284,294.62,18
536572,16539,United Kingdom,2010-12-01 15:40:00,2010-12,301,442.34999999999997,21
536573,17025,United Kingdom,2010-12-01 15:45:00,2010-12,136,143.12,4
536574,17025,United Kingdom,2010-12-01 15:46:00,2010-12,3,17.85,1
536575,13777,United Kingdom,2010-12-01 16:01:00,2010-12,858,1552.98,8
536576,13777,United Kingdom,2010-12-01 16:11:00,2010-12,1122,2558.42,16
536577,13777,United Kingdom,2010-12-01 16:13:00,2010-12,388,497.0,4
536578,17690,United Kingdom,2010-12-01 16:15:00,2010-12,104,279.6,8
536579,13777,United Kingdom,2010-12-01 16:16:00,2010-12,276,315.96000000000004,2
536580,17690,United Kingdom,2010-12-01 16:17:00,2010-12,66,97.19999999999999,6
536581,13777,United Kingdom,2010-12-01 16:19:00,2010-12,200,330.0,1
536582,12947,United Kingdom,2010-12-01 16:21:00,2010-12,184,304.04,17
536583,13777,United Kingdom,2010-12-01 16:21:00,2010-12,120,198.0,1
536584,13777,United Kingdom,2010-12-01 16:22:00,2010-12,384,1132.8000000000002,1
536585,17460,United Kingdom,2010-12-01 16:24:00,2010-12,2,19.9,1
536586,18229,United Kingdom,2010-12-01 16:25:00,2010-12,44,344.2,7
536587,14142,United Kingdom,2010-12-01 16:33:00,2010-12,313,311.81,22
536588,17069,United Kingdom,2010-12-01 16:49:00,2010-12,103,277.05,11
536590,13065,United Kingdom,2010-12-01 16:52:00,2010-12,74,205.86,14
536591,14606,United Kingdom,2010-12-01 16:57:00,2010-12,93,198.32,40
536593,16835,United Kingdom,2010-12-01 17:15:00,2010-12,19,81.75,5
536594,15235,United Kingdom,2010-12-01 17:22:00,2010-12,34,79.5,5
536595,13576,United Kingdom,2010-12-01 17:24:00,2010-12,108,349.15,11
536597,18011,United Kingdom,2010-12-01 17:35:00,2010-12,71,102.78999999999999,28
536598,13090,United Kingdom,2010-12-02 07:48:00,2010-12,76,160.6,4
536599,15694,United Kingdom,2010-12-02 07:49:00,2010-12,80,306.4,6
536600,17850,United Kingdom,2010-12-02 08:32:00,2010-12,56,251.62,12
536601,17850,United Kingdom,2010-12-02 08:33:00,2010-12,12,22.200000000000003,2
536602,17850,United Kingdom,2010-12-02 08:34:00,2010-12,64,163.76,12
536603,17850,United Kingdom,2010-12-02 08:40:00,2010-12,12,22.200000000000003,2
536604,14741,United Kingdom,2010-12-02 08:43:00,2010-12,114,184.5,9
536605,13715,United Kingdom,2010-12-02 08:52:00,2010-12,107,272.65000000000003,15
536607,17732,United Kingdom,2010-12-02 09:29:00,2010-12,93,303.97,18
536608,12855,United Kingdom,2010-12-02 09:37:00,2010-12,30,38.1,3
536609,17850,United Kingdom,2010-12-02 09:41:00,2010-12,88,244.46,16
536610,17850,United Kingdom,2010-12-02 09:42:00,2010-12,12,22.200000000000003,2
536611,15752,United Kingdom,2010-12-02 09:43:00,2010-12,153,259.65000000000003,14
536612,17850,United Kingdom,2010-12-02 09:44:00,2010-12,82,206.76,15
536613,17855,United Kingdom,2010-12-02 09:44:00,2010-12,197,208.97,17
536614,17850,United Kingdom,2010-12-02 09:44:00,2010-12,12,22.200000000000003,2
536615,14047,United Kingdom,2010-12-02 10:09:00,2010-12,108,286.92,12
536616,17925,United Kingdom,2010-12-02 10:10:00,2010-12,72,244.08,1
536617,13941,United Kingdom,2010-12-02 10:17:00,2010-12,644,1095.12,11
536618,17017,United Kingdom,2010-12-02 10:17:00,2010-12,600,780.12,21
536619,17017,United Kingdom,2010-12-02 10:18:00,2010-12,48,97.19999999999999,2
536620,14135,United Kingdom,2010-12-02 10:27:00,2010-12,741,485.25,23
536621,13108,United Kingdom,2010-12-02 10:35:00,2010-12,298,350.06,10
536623,15601,United Kingdom,2010-12-02 10:39:00,2010-12,666,768.38,48
536624,13418,United Kingdom,2010-12-02 10:45:00,2010-12,228,610.64,22
536626,13418,United Kingdom,2010-12-02 10:46:00,2010-12,6,12.600000000000001,1
536627,15658,United Kingdom,2010-12-02 10:53:00,2010-12,64,306.2,14
536628,17850,United Kingdom,2010-12-02 10:54:00,2010-12,86,230.56,16
536629,17850,United Kingdom,2010-12-02 10:55:00,2010-12,12,22.200000000000003,2
536630,17850,United Kingdom,2010-12-02 10:56:00,2010-12,88,244.46,16
536631,17850,United Kingdom,2010-12-02 10:58:00,2010-12,12,22.200000000000003,2
536632,14388,United Kingdom,2010-12-02 11:02:00,2010-12,170,312.8,21
536633,14901,United Kingdom,2010-12-02 11:20:00,2010-12,105,204.15,18
536634,18041,United Kingdom,2010-12-02 11:21:00,2010-12,159,193.78,14
536635,15955,United Kingdom,2010-12-02 11:22:00,2010-12,246,572.38,20
536636,15070,United Kingdom,2010-12-02 11:23:00,2010-12,36,106.2,1
536637,18041,United Kingdom,2010-12-02 11:35:00,2010-12,165,235.16,55
536638,16244,United Kingdom,2010-12-02 11:41:00,2010-12,619,1056.63,63
536639,15111,United Kingdom,2010-12-02 11:45:00,2010-12,106,288.5,16
536641,12748,United Kingdom,2010-12-02 11:46:00,2010-12,1,4.25,1
536643,14390,United Kingdom,2010-12-02 11:57:00,2010-12,74,223.7,26
536663,16546,United Kingdom,2010-12-02 12:07:00,2010-12,156,299.40000000000003,6
536667,15260,United Kingdom,2010-12-02 12:09:00,2010-12,214,362.5,16
536670,15260,United Kingdom,2010-12-02 12:09:00,2010-12,40,58.0,1
536671,13305,United Kingdom,2010-12-02 12:10:00,2010-12,132,136.2,5
536672,14491,United Kingdom,2010-12-02 12:10:00,2010-12,40,127.2,4
536673,14060,United Kingdom,2010-12-02 12:11:00,2010-12,504,339.84,8
536674,15923,United Kingdom,2010-12-02 12:16:00,2010-12,122,127.08,21
536676,16752,United Kingdom,2010-12-02 12:18:00,2010-12,54,207.5,9
536681,17287,United Kingdom,2010-12-02 12:22:00,2010-12,46,113.92,13
536685,17850,United Kingdom,2010-12-02 12:23:00,2010-12,108,380.46,17
536688,17850,United Kingdom,2010-12-02 12:24:00,2010-12,12,22.200000000000003,2
536690,17850,United Kingdom,2010-12-02 12:25:00,2010-12,92,331.26,17
536693,17850,United Kingdom,2010-12-02 12:26:00,2010-12,12,22.200000000000003,2
536698,15363,United Kingdom,2010-12-02 12:28:00,2010-12,144,326.0,16
536707,12915,United Kingdom,2010-12-02 12:33:00,2010-12,41,199.65,13
536732,15544,United Kingdom,2010-12-02 12:47:00,2010-12,274,354.54,26
536733,15738,United Kingdom,2010-12-02 12:50:00,2010-12,255,329.65000000000003,14
536735,17381,United Kingdom,2010-12-02 12:58:00,2010-12,128,211.2,1
536736,17381,United Kingdom,2010-12-02 12:59:00,2010-12,1296,824.88,5
536738,15827,United Kingdom,2010-12-02 13:06:00,2010-12,42,98.18,7
536739,14180,United Kingdom,2010-12-02 13:08:00,2010-12,31,201.75,12
536740,15827,United Kingdom,2010-12-02 13:08:00,2010-12,67,92.75,7
536741,13117,United Kingdom,2010-12-02 13:11:00,2010-12,130,202.12,15
536742,16916,United Kingdom,2010-12-02 13:14:00,2010-12,103,198.08,48
536743,17964,United Kingdom,2010-12-02 13:32:00,2010-12,195,261.76,35
536744,14466,United Kingdom,2010-12-02 13:36:00,2010-12,137,379.75,10
536745,17235,United Kingdom,2010-12-02 13:38:00,2010-12,126,341.9,10
536746,16510,United Kingdom,2010-12-02 13:39:00,2010-12,92,248.1,13
536747,17802,United Kingdom,2010-12-02 13:44:00,2010-12,75,100.2,12
536748,15107,United Kingdom,2010-12-02 13:45:00,2010-12,26,116.0,5
536749,17976,United Kingdom,2010-12-02 13:49:00,2010-12,106,353.19,56
536750,17850,United Kingdom,2010-12-02 14:04:00,2010-12,118,434.8,19
536751,17850,United Kingdom,2010-12-02 14:05:00,2010-12,12,22.200000000000003,2
536752,17850,United Kingdom,2010-12-02 14:06:00,2010-12,104,390.66,19
536753,17850,United Kingdom,2010-12-02 14:07:00,2010-12,12,22.200000000000003,2
536754,14449,United Kingdom,2010-12-02 14:09:00,2010-12,142,210.24,50
536759,16781,United Kingdom,2010-12-02 14:26:00,2010-12,113,311.25,17
536761,13491,United Kingdom,2010-12-02 14:30:00,2010-12,36,98.9,7
536762,16186,United Kingdom,2010-12-02 14:40:00,2010-12,231,307.68,20
536763,17685,United Kingdom,2010-12-02 14:42:00,2010-12,331,452.52,12
536769,17581,United Kingdom,2010-12-02 14:47:00,2010-12,375,668.4,31
536771,17581,United Kingdom,2010-12-02 14:49:00,2010-12,66,118.38,7
536777,15732,United Kingdom,2010-12-02 15:00:00,2010-12,97,138.1,5
536778,13138,United Kingdom,2010-12-02 15:03:00,2010-12,125,193.23,14
536779,15823,United Kingdom,2010-12-02 15:08:00,2010-12,1,15.0,1
536781,17460,United Kingdom,2010-12-02 15:14:00,2010-12,24,50.400000000000006,1
536782,17567,United Kingdom,2010-12-02 15:18:00,2010-12,244,517.95,27
536783,15061,United Kingdom,2010-12-02 15:19:00,2010-12,2909,4076.48,38
536784,15061,United Kingdom,2010-12-02 15:20:00,2010-12,1330,2170.9,25
536785,15061,United Kingdom,2010-12-02 15:22:00,2010-12,1008,2730.96,6
536786,15061,United Kingdom,2010-12-02 15:23:00,2010-12,144,324.0,2
536787,17850,United Kingdom,2010-12-02 15:24:00,2010-12,76,192.46,13
536788,15061,United Kingdom,2010-12-02 15:25:00,2010-12,60,75.0,1
536789,17850,United Kingdom,2010-12-02 15:25:00,2010-12,12,22.200000000000003,2
536790,17850,United Kingdom,2010-12-02 15:26:00,2010-12,141,532.01,17
536791,17850,United Kingdom,2010-12-02 15:27:00,2010-12,24,44.400000000000006,2
536792,15061,United Kingdom,2010-12-02 15:28:00,2010-12,24,30.0,1
536793,16203,United Kingdom,2010-12-02 15:39:00,2010-12,70,170.7,11
536794,13767,United Kingdom,2010-12-02 15:40:00,2010-12,96,322.8,4
536795,15640,United Kingdom,2010-12-02 15:40:00,2010-12,180,333.72,7
536796,15574,United Kingdom,2010-12-02 15:46:00,2010-12,176,375.65,96
536797,16770,United Kingdom,2010-12-02 15:49:00,2010-12,56,130.8,6
536798,17838,United Kingdom,2010-12-02 15:55:00,2010-12,472,717.1600000000001,29
536799,17228,United Kingdom,2010-12-02 16:00:00,2010-12,122,183.3,18
536800,14829,United Kingdom,2010-12-02 16:12:00,2010-12,190,236.97,19
536802,17412,United Kingdom,2010-12-02 16:29:00,2010-12,50,197.3,8
536803,14911,EIRE,2010-12-02 16:33:00,2010-12,6,22.5,1
536804,14031,United Kingdom,2010-12-02 16:34:00,2010-12,531,1714.25,25
536805,14775,United Kingdom,2010-12-02 16:38:00,2010-12,384,406.56,20
536806,12971,United Kingdom,2010-12-02 16:42:00,2010-12,84,45.12,5
536808,17659,United Kingdom,2010-12-02 16:46:00,2010-12,64,247.8,12
536809,15299,United Kingdom,2010-12-02 16:48:00,2010-12,1824,1003.2,1
536810,15299,United Kingdom,2010-12-02 16:50:00,2010-12,204,303.96,1
536811,15299,United Kingdom,2010-12-02 16:51:00,2010-12,69,527.85,1
536813,15646,United Kingdom,2010-12-02 16:59:00,2010-12,230,189.8,17
536819,13402,United Kingdom,2010-12-02 17:12:00,2010-12,190,308.28000000000003,17
536821,17757,United Kingdom,2010-12-02 17:17:00,2010-12,80,143.45000000000002,23
536823,13011,United Kingdom,2010-12-02 17:22:00,2010-12,13,50.550000000000004,3
536824,13798,United Kingdom,2010-12-02 17:24:00,2010-12,160,408.0,1
536830,16754,United Kingdom,2010-12-02 17:38:00,2010-12,4280,2002.4,2
536831,16029,United Kingdom,2010-12-02 17:40:00,2010-12,260,569.4,4
536832,16634,United Kingdom,2010-12-02 17:41:00,2010-12,64,164.8,8
536833,18239,United Kingdom,2010-12-02 17:48:00,2010-12,208,438.1,29
536834,14576,United Kingdom,2010-12-02 17:51:00,2010-12,12,35.400000000000006,1
536835,13145,United Kingdom,2010-12-02 18:06:00,2010-12,1,295.0,1
536836,18168,United Kingdom,2010-12-02 18:08:00,2010-12,133,263.3,26
536837,14395,United Kingdom,2010-12-02 18:15:00,2010-12,174,308.68,27
536838,14865,United Kingdom,2010-12-02 18:23:00,2010-12,96,37.2,3
536839,15093,United Kingdom,2010-12-02 18:25:00,2010-12,879,623.73,16
536840,12738,Germany,2010-12-02 18:27:00,2010-12,148,155.35,11
536841,16150,United Kingdom,2010-12-02 18:27:00,2010-12,174,393.42,22
536842,17552,United Kingdom,2010-12-02 18:45:00,2010-12,130,263.62,11
536843,17552,United Kingdom,2010-12-02 18:46:00,2010-12,14,34.9,2
536844,14236,United Kingdom,2010-12-02 18:49:00,2010-12,38,189.3,3
536845,17961,United Kingdom,2010-12-02 19:18:00,2010-12,45,127.55,28
536846,14573,United Kingdom,2010-12-02 19:59:00,2010-12,134,413.1,68
536847,17135,United Kingdom,2010-12-03 09:31:00,2010-12,222,215.57999999999998,9
536848,13408,United Kingdom,2010-12-03 09:39:00,2010-12,280,534.0,3
536849,17396,United Kingdom,2010-12-03 09:45:00,2010-12,106,397.5,3
536851,12967,United Kingdom,2010-12-03 09:49:00,2010-12,360,1368.4,15
536852,12686,France,2010-12-03 09:51:00,2010-12,107,89.14,7
536856,13370,United Kingdom,2010-12-03 10:26:00,2010-12,343,754.87,39
536857,16883,United Kingdom,2010-12-03 10:33:00,2010-12,54,128.03,17
536858,13520,Switzerland,2010-12-03 10:36:00,2010-12,110,303.4,6
536859,12841,United Kingdom,2010-12-03 10:43:00,2010-12,186,294.25,24
536860,16905,United Kingdom,2010-12-03 10:43:00,2010-12,108,254.39999999999998,10
536861,12427,Germany,2010-12-03 10:44:00,2010-12,79,303.5,10
536863,17967,United Kingdom,2010-12-03 11:19:00,2010-12,80,123.07,41
536874,16891,United Kingdom,2010-12-03 11:35:00,2010-12,92,232.26,63
536884,14589,United Kingdom,2010-12-03 11:42:00,2010-12,5,39.75,3
536890,14156,EIRE,2010-12-03 11:48:00,2010-12,1548,322.2,3
536938,14680,United Kingdom,2010-12-03 12:05:00,2010-12,464,1680.88,14
536943,17884,United Kingdom,2010-12-03 12:11:00,2010-12,170,187.51,28
536944,12557,Spain,2010-12-03 12:20:00,2010-12,400,620.0,5
536945,14083,United Kingdom,2010-12-03 12:24:00,2010-12,179,309.54,62
536946,13013,United Kingdom,2010-12-03 12:28:00,2010-12,363,841.94,29
536947,13013,United Kingdom,2010-12-03 12:29:00,2010-12,439,686.4,38
536954,17809,United Kingdom,2010-12-03 12:41:00,2010-12,100,425.0,1
536956,14210,United Kingdom,2010-12-03 12:43:00,2010-12,93,304.95000000000005,15
536957,17809,United Kingdom,2010-12-03 12:43:00,2010-12,234,791.7,13
536960,16477,United Kingdom,2010-12-03 12:48:00,2010-12,125,225.65,14
536967,12600,Germany,2010-12-03 12:57:00,2010-12,31,76.5,2
536968,16013,United Kingdom,2010-12-03 13:09:00,2010-12,168,534.0,2
536969,16013,United Kingdom,2010-12-03 13:10:00,2010-12,192,528.0,1
536970,17949,United Kingdom,2010-12-03 13:12:00,2010-12,120,1314.0,1
536971,12779,Poland,2010-12-03 13:40:00,2010-12,140,248.16,8
536972,16926,United Kingdom,2010-12-03 13:42:00,2010-12,35,230.25,14
536973,17787,United Kingdom,2010-12-03 13:43:00,2010-12,356,736.28,30
536974,12682,France,2010-12-03 13:59:00,2010-12,132,336.24,16
536975,14911,EIRE,2010-12-03 14:04:00,2010-12,827,1705.65,71
536976,14723,United Kingdom,2010-12-03 14:18:00,2010-12,76,149.8,19
536977,17954,United Kingdom,2010-12-03 14:18:00,2010-12,60,108.78,14
536980,17819,United Kingdom,2010-12-03 14:26:00,2010-12,239,591.47,12
536981,14723,United Kingdom,2010-12-03 14:26:00,2010-12,39,101.14,22
536983,12712,Germany,2010-12-03 14:30:00,2010-12,60,175.53,9
536984,17841,United Kingdom,2010-12-03 14:35:00,2010-12,136,339.54,29
536985,15373,United Kingdom,2010-12-03 14:40:00,2010-12,42,334.3,11
536986,16140,United Kingdom,2010-12-03 14:40:00,2010-12,104,124.14,7
536987,17198,United Kingdom,2010-12-03 14:54:00,2010-12,124,272.01,52
536988,17238,United Kingdom,2010-12-03 15:05:00,2010-12,100,254.39000000000001,38
536989,17238,United Kingdom,2010-12-03 15:10:00,2010-12,26,115.7,22
536990,12793,Portugal,2010-12-03 15:14:00,2010-12,65,131.8,7
536992,15769,United Kingdom,2010-12-03 15:16:00,2010-12,36,91.8,1
536993,14396,United Kingdom,2010-12-03 15:19:00,2010-12,39,110.35000000000001,34
536994,14898,United Kingdom,2010-12-03 15:25:00,2010-12,18,98.5,3
537022,12725,Italy,2010-12-03 15:45:00,2010-12,164,427.8,24
537023,16725,United Kingdom,2010-12-03 16:02:00,2010-12,64,122.15,25
537026,12395,Belgium,2010-12-03 16:35:00,2010-12,528,346.1,12
537030,16455,United Kingdom,2010-12-03 16:44:00,2010-12,142,246.3,13
537031,16455,United Kingdom,2010-12-03 16:45:00,2010-12,108,135.0,6
537034,13081,United Kingdom,2010-12-03 17:20:00,2010-12,1338,2355.1800000000003,73
537035,13081,United Kingdom,2010-12-03 17:21:00,2010-12,8,11.6,1
537036,15545,United Kingdom,2010-12-03 17:28:00,2010-12,75,135.32999999999998,31
537037,17243,United Kingdom,2010-12-05 10:03:00,2010-12,92,256.90000000000003,11
537038,15465,United Kingdom,2010-12-05 10:12:00,2010-12,125,535.75,7
537040,13089,United Kingdom,2010-12-05 10:27:00,2010-12,192,734.3999999999999,2
537041,16033,United Kingdom,2010-12-05 10:36:00,2010-12,52,155.64000000000001,26
537042,13838,United Kingdom,2010-12-05 10:45:00,2010-12,83,238.11,48
537044,18055,United Kingdom,2010-12-05 10:52:00,2010-12,93,431.45,19
537045,15038,United Kingdom,2010-12-05 10:54:00,2010-12,46,126.42999999999999,30
537046,18109,United Kingdom,2010-12-05 10:58:00,2010-12,55,277.45,14
537047,13069,United Kingdom,2010-12-05 11:02:00,2010-12,181,326.6,41
537048,13069,United Kingdom,2010-12-05 11:03:00,2010-12,2,5.9,2
537049,16241,United Kingdom,2010-12-05 11:04:00,2010-12,97,277.65000000000003,14
537050,14800,United Kingdom,2010-12-05 11:10:00,2010-12,437,555.84,51
537051,15708,United Kingdom,2010-12-05 11:12:00,2010-12,158,350.68,31
537052,16839,United Kingdom,2010-12-05 11:15:00,2010-12,232,552.24,5
537053,16168,United Kingdom,2010-12-05 11:38:00,2010-12,124,275.8,3
537054,16931,United Kingdom,2010-12-05 11:40:00,2010-12,82,152.05,40
537055,16814,United Kingdom,2010-12-05 11:45:00,2010-12,107,273.29,15
537057,15351,United Kingdom,2010-12-05 11:49:00,2010-12,129,274.67,49
537058,13269,United Kingdom,2010-12-05 11:51:00,2010-12,197,351.43,12
537059,14813,United Kingdom,2010-12-05 11:54:00,2010-12,59,127.98,20
537065,12567,France,2010-12-05 11:57:00,2010-12,611,1526.92,63
537067,14813,United Kingdom,2010-12-05 11:57:00,2010-12,8,27.45,6
537077,17062,United Kingdom,2010-12-05 11:59:00,2010-12,163,179.64000000000001,26
537081,15332,Lithuania,2010-12-05 12:00:00,2010-12,442,1145.06,25
537086,15332,Lithuania,2010-12-05 12:01:00,2010-12,168,438.0,8
537090,15332,Lithuania,2010-12-05 12:02:00,2010-12,12,15.0,1
537111,14810,United Kingdom,2010-12-05 12:08:00,2010-12,84,180.44,22
537117,16353,United Kingdom,2010-12-05 12:09:00,2010-12,48,204.0,1
537126,18118,United Kingdom,2010-12-05 12:13:00,2010-12,212,475.86,116
537127,13831,United Kingdom,2010-12-05 12:13:00,2010-12,160,408.0,2
537128,12841,United Kingdom,2010-12-05 12:15:00,2010-12,135,211.74,23
537129,13506,United Kingdom,2010-12-05 12:15:00,2010-12,232,301.12,17
537130,17796,United Kingdom,2010-12-05 12:23:00,2010-12,28,114.65,19
537131,15716,United Kingdom,2010-12-05 12:26:00,2010-12,435,547.1,35
537133,18156,United Kingdom,2010-12-05 12:29:00,2010-12,73,206.23000000000002,50
537134,16983,United Kingdom,2010-12-05 12:34:00,2010-12,107,163.49,9
