stock_code,description,revenue,quantity,orders,customers,avg_unit_price
22617,BAKING SET SPACEBOY DESIGN,10210.89,2153,424,296,5.038665105386418
23170,REGENCY TEA PLATE ROSES ,10190.789999999999,6575,328,224,1.6575379939209725
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,10161.41,928,260,179,12.191704545454545
22988,SOLDIERS EGG CUP ,10150.22,8821,327,197,1.2574260355029585
20724,RED RETROSPOT CHARLOTTE BAG,10125.85,12809,739,335,0.8493075898801596
47590A,BLUE HAPPY BIRTHDAY BUNTING,10107.52,1950,355,228,5.468033707865169
21891,TRADITIONAL WOODEN SKIPPING ROPE,10019.47,7919,340,264,1.3947486033519554
23208,LUNCH BAG VINTAGE LEAF DESIGN,10006.45,6225,597,305,1.645121951219512
23300,GARDENERS KNEELING PAD CUP OF TEA ,9963.39,6303,635,351,1.6653004622496148
22499,WOODEN UNION JACK BUNTING,9928.83,1734,296,217,5.945016722408027
84997C,CHILDRENS CUTLERY POLKADOT BLUE,9831.4,2524,211,150,4.119811320754717
48173C,DOORMAT BLACK FLOCK ,9822.2,1787,173,105,7.745568181818182
23343,JUMBO BAG VINTAGE CHRISTMAS ,9748.34,4908,385,286,2.0784343434343437
23076,ICE CREAM SUNDAE LIP GLOSS,9668.16,7920,248,202,1.2449397590361446
22970,LONDON BUS COFFEE MUG,9666.300000000001,4246,276,180,2.492957746478873
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,9656.789999999999,12313,732,427,0.8391102257636123
22569,FELTCRAFT CUSHION BUTTERFLY,9655.48,2698,294,192,3.737209302325582
22690,DOORMAT HOME SWEET HOME BLUE ,9635.89,1597,261,198,7.8726515151515155
84997B,CHILDRENS CUTLERY RETROSPOT RED ,9603.68,2492,229,157,4.149827586206897
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9597.710000000001,15611,529,318,0.6483955223880598
22846,BREAD BIN DINER STYLE RED ,9597.31,626,249,158,16.34538152610442
22556,PLASTERS IN TIN CIRCUS PARADE ,9596.96,5952,521,305,1.658210922787194
82600,NO SINGING METAL SIGN,9573.6,4636,384,207,2.082835051546392
22605,WOODEN CROQUET GARDEN SET,9555.98,709,240,181,14.353443983402489
22633,HAND WARMER UNION JACK,9550.560000000001,4746,441,300,2.083127659574468
22692,DOORMAT WELCOME TO OUR HOME,9468.08,1378,338,231,7.917117647058824
22555,PLASTERS IN TIN STRONGMAN,9462.289999999999,5885,449,294,1.6487852494577004
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,9424.32,2704,319,186,3.6949382716049386
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266,214,170,7.769444444444445
22766,PHOTO FRAME CORNICE,9365.78,3206,454,278,2.955
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,9339.34,8273,278,177,1.2458219178082193
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9329.17,2469,319,211,4.00159509202454
22560,TRADITIONAL MODELLING CLAY,9311.47,8014,336,229,1.2727893175074185
22621,TRADITIONAL KNITTING NANCY,9297.87,5895,509,366,1.6413243761996161
23240,SET OF 4 KNICK KNACK TINS DOILY ,9270.5,2294,312,230,4.137538940809969
21914,BLUE HARMONICA IN BOX ,9222.63,7434,517,306,1.2807020872865273
21481,FAWN BLUE HOT WATER BOTTLE,9218.550000000001,2925,379,253,3.3662273901808786
21217,RED RETROSPOT ROUND CAKE TINS,9188.25,975,257,167,9.860852713178295
23171,REGENCY TEA PLATE GREEN ,9184.9,5966,270,195,1.6725830258302583
22978,PANTRY ROLLING PIN,9184.28,2407,197,153,3.7522727272727274
22561,WOODEN SCHOOL COLOURING SET,9072.87,5695,395,288,1.6561764705882351
20679,EDWARDIAN PARASOL RED,9055.87,1630,270,141,5.920369003690038
23175,REGENCY MILK JUG PINK ,9008.0,3066,272,206,3.1950549450549453
22992,REVOLVER WOODEN RULER ,8950.289999999999,4917,285,217,1.9619594594594596
22838,3 TIER CAKE TIN RED AND CREAM,8737.78,652,136,115,14.75470588235294
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,8734.64,3716,426,233,2.5573287671232876
85150,LADIES & GENTLEMEN METAL SIGN,8699.130000000001,3899,367,196,2.514065040650406
84375,SET OF 20 KIDS COOKIE CUTTERS,8697.27,4149,416,290,2.1489018691588786
20972,PINK CREAM FELT CRAFT TRINKET BOX ,8648.49,7131,535,312,1.2744545454545455
22966,GINGERBREAD MAN COOKIE CUTTER,8625.13,7204,554,388,1.2612762237762238
84991,60 TEATIME FAIRY CAKE CASES,8618.369999999999,17689,657,414,0.54821997105644
22619,SET OF 6 SOLDIER SKITTLES,8597.5,2297,339,250,3.8682658959537575
82582,AREA PATROLLED METAL SIGN,8552.220000000001,4290,374,176,2.1090476190476193
23582,VINTAGE DOILY JUMBO BAG RED ,8535.26,4447,234,186,2.066597510373444
21791,VINTAGE HEADS AND TAILS CARD GAME ,8531.41,7143,485,342,1.2709164969450102
23581,JUMBO BAG PAISLEY PARK,8529.24,4373,302,230,2.0596190476190475
22632,HAND WARMER RED RETROSPOT,8526.12,4274,341,258,2.0876553672316387
22424,ENAMEL BREAD BIN CREAM,8519.0,713,326,189,12.658780487804878
22041,"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812,196,73,2.492964824120603
22169,FAMILY ALBUM WHITE PICTURE FRAME,8416.64,1075,286,165,8.388641114982578
22791,T-LIGHT GLASS FLUTED ANTIQUE,8378.89,7336,260,184,1.2339097744360903
22776,SWEETHEART CAKESTAND 3 TIER,8376.6,892,326,252,9.834709480122324
21174,POTTERING IN THE SHED METAL SIGN,8372.7,3926,371,225,2.069736842105263
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8354.87,1841,241,150,4.89872
23318,BOX OF 6 MINI VINTAGE CRACKERS,8350.41,3647,329,270,2.457151335311573
22989,SET 2 PANTRY DESIGN TEA TOWELS,8323.17,2697,311,241,3.2295283018867926
22147,FELTCRAFT BUTTERFLY HEARTS,8314.55,6127,436,287,1.4642163355408389
22759,SET OF 3 NOTEBOOKS IN PARCEL,8283.75,5207,319,253,1.6875
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8269.45,10279,306,208,0.8538461538461538
23319,BOX OF 6 MINI 50'S CRACKERS,8216.79,3539,365,300,2.4641732283464566
23322,LARGE WHITE HEART OF WICKER,8184.700000000001,2908,511,350,2.9476136363636365
71459,HANGING JAM JAR T-LIGHT HOLDER,8164.12,10528,310,193,0.8286816720257234
22158,3 HEARTS HANGING DECORATION RUSTIC,8161.21,2895,261,196,2.975777777777778
23082,SET 6 PAPER TABLE LANTERN HEARTS ,8129.43,2265,263,205,3.723040293040293
22655,VINTAGE RED KITCHEN CABINET,8125.0,60,38,34,143.42105263157896
23078,ICE CREAM PEN LIP GLOSS ,8077.31,6607,213,159,1.2450704225352112
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8071.51,2223,401,275,3.7539429928741095
48116,DOORMAT MULTICOLOUR STRIPE,8053.22,1419,141,88,7.699647887323943
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8051.83,2843,329,278,2.8916326530612246
22729,ALARM CLOCK BAKELIKE ORANGE,7995.63,2182,359,179,3.7662942779291555
23256,CHILDRENS CUTLERY SPACEBOY ,7974.38,1982,316,225,4.151677018633541
23080,RED METAL BOX TOP SECRET,7962.03,1003,221,148,8.357543859649123
22667,RECIPE BOX RETROSPOT ,7952.900000000001,2870,441,233,2.921806167400881
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7947.37,5680,365,244,1.4629076086956523
21121,SET/10 RED POLKADOT PARTY CANDLES,7799.18,6502,336,238,1.2466860465116278
22652,TRAVEL SEWING KIT,7787.36,4864,394,263,1.6593233082706764
72741,GRAND CHOCOLATECANDLE,7785.05,5801,249,195,1.4284860557768926
22502,PICNIC BASKET WICKER SMALL,7746.700000000001,1427,232,175,5.810970464135021
84378,SET OF 3 HEART COOKIE CUTTERS,7741.84,6019,521,376,1.3277067669172933
22940,FELTCRAFT CHRISTMAS FAIRY,7722.68,1896,302,240,4.351269841269842
20711,JUMBO BAG TOYS ,7689.28,4198,245,152,2.01331983805668
35970,ZINC FOLKART SLEIGH BELLS,7665.110000000001,4647,339,270,1.7350429799426934
23439,HAND WARMER RED LOVE HEART,7660.200000000001,3762,371,268,2.0943609022556395
22768,FAMILY PHOTO FRAME CORNICE,7646.84,837,233,184,9.909574468085106
22192,BLUE DINER WALL CLOCK,7528.93,907,338,179,8.483816568047338
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,7510.29,2067,281,195,3.7216262975778545
21136,PAINTED METAL PEARS ASSORTED,7491.4,4476,352,259,1.6926243093922653
22952,60 CAKE CASES VINTAGE CHRISTMAS,7417.849999999999,14735,466,342,0.5426464646464647
21314,SMALL GLASS HEART TRINKET POT,7412.56,3670,342,215,2.093670520231214
22557,PLASTERS IN TIN VINTAGE PAISLEY ,7346.69,4573,480,315,1.6781124497991966
21770,OPEN CLOSED METAL SIGN,7311.36,1577,341,263,4.944215116279071
20719,WOODLAND CHARLOTTE BAG,7277.24,9237,531,238,0.8454761904761905
22616,PACK OF 12 LONDON TISSUES ,7266.71,25345,382,195,0.3261209068010075
21889,WOODEN BOX OF DOMINOES,7215.95,5778,449,336,1.2799356223175966
22900, SET 2 TEA TOWELS I LOVE LONDON ,7208.95,2627,192,131,3.0295544554455445
21908,CHOCOLATE THIS WAY METAL SIGN,7208.52,3635,374,220,2.140183727034121
84949,SILVER HANGING T-LIGHT HOLDER,7193.25,4665,250,165,1.6326771653543306
23238,SET OF 4 KNICK KNACK TINS LONDON ,7170.599999999999,1788,233,150,4.13360655737705
22750,FELTCRAFT PRINCESS LOLA DOLL,7166.94,1964,378,247,3.7664961636828647
22585,PACK OF 6 BIRDY GIFT TAGS,7149.7,6062,319,241,1.2588529411764706
22355,CHARLOTTE BAG SUKI DESIGN,7138.65,8975,585,249,0.8513021702838064
23240,SET OF 4 KNICK KNACK TINS DOILEY ,7136.849999999999,1803,172,142,4.125000000000001
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7128.1,3468,421,319,2.1472311212814645
84406B,CREAM CUPID HEARTS COAT HANGER,7125.38,1918,241,133,3.816311475409836
84836,ZINC METAL HEART DECORATION,7108.68,5757,476,311,1.255458248472505
22795,SWEETHEART RECIPE BOOK STAND,7084.650000000001,1099,287,170,6.686769759450171
21218,RED SPOTTY BISCUIT TIN,7071.2,2058,203,130,3.755631067961165
23007, SPACEBOY BABY GIFT SET,7065.499999999999,450,142,110,16.516433566433566
22741,FUNKY DIVA PEN,7010.94,8328,155,107,0.8541935483870968
22950,36 DOILIES VINTAGE CHRISTMAS,7006.25,5153,160,151,1.436335403726708
21787,RAIN PONCHO RETROSPOT,6964.63,8755,180,115,0.8633333333333333
23215,JINGLE BELL HEART ANTIQUE SILVER,6962.04,3547,197,162,2.1392610837438424
22767,TRIPLE PHOTO FRAME CORNICE ,6932.83,761,208,152,9.849230769230768
23320,GIANT 50'S CHRISTMAS CRACKER,6926.11,2635,310,260,2.6578504672897196
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6923.17,5753,321,168,1.2448502994011976
21231,SWEETHEART CERAMIC TRINKET BOX,6875.860000000001,5757,381,215,1.273341968911917
21213,PACK OF 72 SKULL CAKE CASES,6859.3099999999995,14309,499,295,0.5406849315068494
22456,NATURAL SLATE CHALKBOARD LARGE ,6833.2,1452,303,220,4.888235294117647
23321,SMALL WHITE HEART OF WICKER,6832.83,4283,582,378,1.6437851239669419
84970S,HANGING HEART ZINC T-LIGHT HOLDER,6830.59,8470,412,271,0.8686506024096385
22991,GIRAFFE WOODEN RULER,6820.74,3710,234,185,2.0498340248962656
21035,SET/2 RED RETROSPOT TEA TOWELS ,6820.01,2319,219,151,3.2901777777777776
22844,VINTAGE CREAM DOG FOOD CONTAINER,6779.35,826,292,176,8.537398648648649
22487,WHITE WOOD GARDEN PLANT LADDER,6778.8099999999995,724,379,278,9.77028947368421
21169,YOU'RE CONFUSING ME METAL SIGN ,6762.57,4281,342,191,1.6724719101123595
