customer_id,first_purchase_date,last_purchase_date,recency,frequency,monetary,avg_order_value,total_quantity,unique_products,customer_lifetime_days,r_score,f_score,m_score,rfm_score,rfm_total_score,segment
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,287,1,189.9,189.9,91,10,0,1,1,1,111,3,Lost / Low Value
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,3,10,5226.2300000000005,522.623,2229,266,292,5,5,5,555,15,Champions
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,110,2,552.0,276.0,408,23,132,2,2,3,223,7,Regular Customers
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,8,4,1313.1,328.275,1506,85,104,5,4,4,544,13,Champions
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,291,2,641.38,320.69,174,22,0,1,2,3,123,6,Regular Customers
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,4,1,168.9,168.9,173,11,0,5,1,1,511,7,New Customers
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,51,4,3545.6899999999996,886.4224999999999,2353,166,309,3,4,5,345,12,Loyal Customers
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,45,2,1887.96,943.98,591,63,14,3,2,4,324,9,Big Spenders
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,72,3,1298.04,432.68,794,52,224,3,3,4,334,10,Big Spenders
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,311,1,364.6,364.6,197,14,0,1,1,2,112,4,Lost / Low Value
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,25,1,742.9300000000001,742.9300000000001,342,33,0,4,1,3,413,8,New Customers
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,11,2,457.5,228.75,178,17,87,5,2,2,522,9,New Customers
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,315,2,1628.12,814.06,944,77,39,1,2,4,124,7,Big Spenders
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,130,1,4008.62,4008.62,2529,219,0,2,1,5,215,8,Big Spenders
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,82,2,852.24,426.12,407,40,88,2,2,3,223,7,Regular Customers
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,22,4,2724.8100000000004,681.2025000000001,1127,104,164,4,4,5,445,13,Champions
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,5,1845.31,369.062,808,87,115,5,4,4,544,13,Champions
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,185,5,1850.56,370.11199999999997,1532,99,167,1,4,4,144,9,At Risk High Value
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,29,2,585.27,292.635,126,27,92,4,2,3,423,9,New Customers
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,338,2,401.9,200.95,354,10,29,1,2,2,122,5,Lost / Low Value
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,16,6,2780.66,463.4433333333333,1462,100,311,4,4,5,445,13,Champions
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,80,1,549.84,549.84,353,32,0,2,1,3,213,6,Regular Customers
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,22,1,460.89,460.89,300,92,0,4,1,2,412,7,New Customers
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,72,4,1582.6,395.65,816,63,260,3,4,4,344,11,Loyal Customers
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,64,2,1272.48,636.24,819,27,153,3,2,4,324,9,Big Spenders
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,19,12,3018.63,251.5525,2118,156,351,4,5,5,455,14,Champions
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,36,2,2409.8999999999996,1204.9499999999998,1263,126,99,3,2,5,325,10,Big Spenders
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,46,1,1635.66,1635.66,1394,85,0,3,1,4,314,8,Big Spenders
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,119,4,1108.65,277.1625,1178,59,142,2,4,4,244,10,At Risk High Value
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,303,1,84.3,84.3,11,5,0,1,1,1,111,3,Lost / Low Value
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,323,1,225.6,225.6,94,11,0,1,1,1,111,3,Lost / Low Value
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,50,1,427.7,427.7,96,5,0,3,1,2,312,6,Regular Customers
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,149,1,1710.39,1710.39,857,54,0,2,1,4,214,7,Big Spenders
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,22,2,3415.3,1707.65,1818,104,161,4,2,5,425,11,New Customers
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,50,5,1708.12,341.62399999999997,1416,77,214,3,4,4,344,11,Loyal Customers
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,33,5,2888.55,577.71,1409,105,227,4,4,5,445,13,Champions
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,79,3,11072.67,3690.89,5551,109,103,2,3,5,235,10,At Risk
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,309,2,693.3299999999999,346.66499999999996,211,26,0,1,2,3,123,6,Regular Customers
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,75,3,1226.88,408.96000000000004,829,61,94,2,3,4,234,9,At Risk
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,67,3,758.1,252.70000000000002,286,38,270,3,3,3,333,9,Regular Customers
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,217,3,562.41,187.47,300,18,93,1,3,3,133,7,At Risk
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,24,21,124914.53,5948.310952380953,77374,714,313,4,5,5,455,14,Champions
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,3,9,3649.1,405.4555555555555,1552,192,354,5,5,5,555,15,Champions
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,113,1,668.58,668.58,407,34,0,2,1,3,213,6,Regular Customers
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,64,1,600.39,600.39,345,29,0,3,1,3,313,7,Regular Customers
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,16,4,807.04,201.76,484,45,303,4,4,3,443,11,Loyal Customers
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,96,3,803.56,267.8533333333333,370,39,229,2,3,3,233,8,At Risk
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,1,8,1859.31,232.41375,1339,125,352,5,5,4,554,14,Champions
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,163,2,1760.9600000000003,880.4800000000001,740,30,0,2,2,4,224,8,Big Spenders
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,78,1,777.2,777.2,496,36,0,2,1,3,213,6,Regular Customers
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,195,1,582.73,582.73,258,30,0,1,1,3,113,5,Regular Customers
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,22,3,825.8,275.26666666666665,533,31,349,4,3,3,433,10,Potential Loyalists
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,26,9,7956.46,884.0511111111111,3536,294,257,4,5,5,455,14,Champions
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,9,4,3750.4,937.6,1557,97,356,5,4,5,545,14,Champions
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,43,1,256.4,256.4,117,11,0,3,1,2,312,6,Regular Customers
12431,2010-12-01 10:03:00,2011-11-04 11:55:00,36,15,6487.45,432.49666666666667,2906,234,338,3,5,5,355,13,Loyal Customers
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,43,5,5059.32,1011.8639999999999,1801,108,129,3,4,5,345,12,Loyal Customers
12433,2010-12-01 13:24:00,2011-12-09 10:02:00,1,7,13375.87,1910.8385714285716,11071,420,372,5,5,5,555,15,Champions
12434,2011-03-24 13:05:00,2011-09-16 12:38:00,85,2,806.14,403.07,394,50,175,2,2,3,223,7,Regular Customers
12435,2011-03-17 07:40:00,2011-09-21 09:06:00,80,2,7829.889999999999,3914.9449999999997,2055,36,188,2,2,5,225,9,Big Spenders
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,100,1,509.01,509.01,211,16,0,2,1,3,213,6,Regular Customers
12437,2011-01-12 14:13:00,2011-12-08 11:35:00,2,18,4951.41,275.0783333333333,2922,199,329,5,5,5,555,15,Champions
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,14,2,2906.85,1453.425,1180,98,125,4,2,5,425,11,New Customers
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,367,1,173.55,173.55,121,11,0,1,1,1,111,3,Lost / Low Value
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,3,1,172.06,172.06,182,12,0,5,1,1,511,7,New Customers
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,21,5,5005.46,1001.092,1153,176,149,4,4,5,445,13,Champions
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,22,1,133.4,133.4,62,4,0,4,1,1,411,6,New Customers
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,58,1,1002.31,1002.31,351,57,0,3,1,4,314,8,Big Spenders
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,243,1,476.49,476.49,190,26,0,1,1,2,112,4,Lost / Low Value
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,44,1,449.45,449.45,243,22,0,3,1,2,312,6,Regular Customers
12449,2011-06-05 15:37:00,2011-11-17 13:46:00,22,4,4067.29,1016.8225,1553,191,164,4,4,5,445,13,Champions
12450,2011-06-19 14:36:00,2011-07-06 14:41:00,156,2,197.88,98.94,128,8,17,2,2,1,221,5,Lost / Low Value
12451,2011-01-19 09:05:00,2011-11-29 08:40:00,11,5,9035.52,1807.104,6575,354,313,5,4,5,545,14,Champions
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,17,2,430.57,215.285,185,22,0,4,2,2,422,8,New Customers
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,134,1,707.09,707.09,473,43,0,2,1,3,213,6,Regular Customers
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,56,1,3528.34,3528.34,1006,15,0,3,1,5,315,9,Big Spenders
12455,2011-02-16 09:56:00,2011-09-27 15:31:00,73,6,2466.86,411.1433333333334,2089,90,223,2,4,5,245,11,At Risk High Value
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,44,3,3181.04,1060.3466666666666,1633,125,210,3,3,5,335,11,Big Spenders
12457,2011-04-14 18:57:00,2011-10-04 13:13:00,66,7,2363.23,337.6042857142857,843,62,172,3,5,5,355,13,Loyal Customers
12458,2011-02-28 10:55:00,2011-09-29 15:25:00,71,2,947.4000000000001,473.70000000000005,506,38,213,3,2,4,324,9,Big Spenders
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,94,2,826.88,413.44,287,35,60,2,2,3,223,7,Regular Customers
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,19,2,1189.5900000000001,594.7950000000001,536,62,284,4,2,4,424,10,New Customers
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,53,4,1344.78,336.195,776,83,188,3,4,4,344,11,Loyal Customers
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,10,8,1212.05,151.50625,112,29,299,5,5,4,554,14,Champions
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,17,2,742.19,371.095,479,47,152,4,2,3,423,9,New Customers
12468,2011-01-27 13:29:00,2011-06-05 11:36:00,188,2,729.5400000000001,364.77000000000004,366,38,128,1,2,3,123,6,Regular Customers
12471,2010-12-10 09:35:00,2011-12-07 15:43:00,2,30,19824.05,660.8016666666666,8212,459,362,5,5,5,555,15,Champions
12472,2010-12-05 14:19:00,2011-11-07 14:01:00,32,7,6572.110000000001,938.8728571428572,4148,339,336,4,5,5,455,14,Champions
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,29,5,3938.55,787.71,2439,165,162,4,4,5,445,13,Champions
12474,2011-01-14 10:06:00,2011-11-22 14:39:00,17,18,7375.79,409.7661111111111,4847,422,312,4,5,5,455,14,Champions
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,54,1,723.38,723.38,535,36,0,3,1,3,313,7,Regular Customers
12476,2010-12-13 14:39:00,2011-11-24 12:40:00,16,11,6816.42,619.6745454545454,2408,232,345,4,5,5,455,14,Champions
12477,2011-02-11 12:45:00,2011-11-17 09:51:00,23,6,13219.740000000002,2203.2900000000004,3653,300,278,4,4,5,445,13,Champions
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,4,1,680.99,680.99,236,36,0,5,1,3,513,9,New Customers
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,11,1,527.2,527.2,385,31,0,5,1,3,513,9,New Customers
12480,2011-01-07 15:27:00,2011-11-11 14:52:00,28,4,3281.63,820.4075,1707,154,307,4,4,5,445,13,Champions
12481,2010-12-09 10:13:00,2011-11-17 08:29:00,23,10,5596.320000000001,559.6320000000001,3304,216,342,4,5,5,455,14,Champions
12483,2011-01-04 14:20:00,2011-11-22 17:02:00,17,8,2484.98,310.6225,1110,75,322,4,5,5,455,14,Champions
12484,2011-01-07 14:04:00,2011-11-07 11:37:00,33,6,4541.72,756.9533333333334,2191,333,303,4,4,5,445,13,Champions
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,10,3,1298.66,432.8866666666667,529,55,65,5,3,4,534,12,Potential Loyalists
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,336,1,334.93,334.93,105,15,0,1,1,2,112,4,Lost / Low Value
12490,2011-01-14 09:13:00,2011-12-04 16:07:00,5,10,5417.93,541.793,3064,245,324,5,5,5,555,15,Champions
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,39,1,460.4,460.4,260,25,0,3,1,2,312,6,Regular Customers
12492,2011-08-26 14:51:00,2011-10-07 15:15:00,63,2,263.21,131.605,192,20,42,3,2,2,322,7,Regular Customers
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,166,2,433.74,216.87,207,22,31,2,2,2,222,6,Lost / Low Value
12494,2010-12-09 11:31:00,2011-11-24 09:34:00,16,7,1246.1,178.0142857142857,707,77,349,4,5,4,454,13,Champions
12497,2011-09-19 12:29:00,2011-09-19 12:29:00,82,1,1043.1,1043.1,1236,14,0,2,1,4,214,7,Big Spenders
12498,2011-10-13 09:30:00,2011-11-18 12:53:00,21,3,403.7,134.56666666666666,159,23,36,4,3,2,432,9,Potential Loyalists
12500,2011-01-10 09:48:00,2011-11-16 16:20:00,23,11,4257.82,387.07454545454544,2678,61,310,4,5,5,455,14,Champions
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,337,1,2169.39,2169.39,1783,149,0,1,1,5,115,7,Big Spenders
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,96,5,3723.87,744.774,820,147,214,2,4,5,245,11,At Risk High Value
12504,2011-11-09 14:56:00,2011-11-21 16:02:00,18,2,482.04999999999995,241.02499999999998,90,9,12,4,2,2,422,8,New Customers
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,233,1,73.5,73.5,23,23,0,1,1,1,111,3,Lost / Low Value
12507,2011-02-14 09:24:00,2011-07-28 17:09:00,134,3,1304.81,434.93666666666667,894,21,164,2,3,4,234,9,At Risk
12508,2011-11-10 16:27:00,2011-11-13 15:37:00,26,2,398.27,199.135,272,64,2,4,2,2,422,8,New Customers
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,284,1,176.5,176.5,55,7,0,1,1,1,111,3,Lost / Low Value
12510,2011-01-18 14:04:00,2011-07-20 10:15:00,143,2,982.5699999999999,491.28499999999997,353,33,182,2,2,4,224,8,Big Spenders
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,66,2,138.03,69.015,99,31,0,3,2,1,321,6,Regular Customers
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,113,1,612.29,612.29,462,35,0,2,1,3,213,6,Regular Customers
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,267,1,1017.68,1017.68,440,51,0,1,1,4,114,6,Big Spenders
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,353,1,383.7,383.7,131,16,0,1,1,2,112,4,Lost / Low Value
12516,2011-06-12 11:37:00,2011-09-23 09:13:00,78,2,1312.06,656.03,875,26,102,2,2,4,224,8,Big Spenders
12517,2011-06-02 15:13:00,2011-11-11 14:04:00,28,5,2502.84,500.56800000000004,1371,271,161,4,4,5,445,13,Champions
12518,2011-08-21 13:18:00,2011-12-09 10:13:00,1,5,2056.89,411.378,1318,124,109,5,4,4,544,13,Champions
12519,2011-10-07 09:26:00,2011-10-07 09:26:00,64,1,340.84,340.84,183,17,0,3,1,2,312,6,Regular Customers
12520,2011-03-11 11:35:00,2011-09-21 15:23:00,79,5,2634.26,526.8520000000001,1439,152,194,2,4,5,245,11,At Risk High Value
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,143,1,599.68,599.68,309,38,0,2,1,3,213,6,Regular Customers
12522,2011-10-19 14:41:00,2011-10-31 15:30:00,39,2,192.72,96.36,194,12,12,3,2,1,321,6,Regular Customers
12523,2011-01-12 09:43:00,2011-11-20 12:55:00,19,11,1789.77,162.70636363636365,865,106,312,4,5,4,454,13,Champions
12524,2011-01-10 10:35:00,2011-11-30 15:31:00,9,8,4485.719999999999,560.7149999999999,3699,144,324,5,5,5,555,15,Champions
12526,2011-09-06 14:19:00,2011-12-09 12:09:00,1,3,1316.6599999999999,438.8866666666666,632,71,93,5,3,4,534,12,Potential Loyalists
12527,2011-01-18 12:05:00,2011-09-19 11:55:00,82,3,348.71000000000004,116.23666666666668,234,18,243,2,3,2,232,7,At Risk
12528,2011-01-31 09:05:00,2011-11-30 14:40:00,9,6,1933.48,322.24666666666667,756,92,303,5,5,4,554,14,Champions
12530,2011-01-07 10:04:00,2011-10-11 12:34:00,60,4,1662.28,415.57,913,66,277,3,4,4,344,11,Loyal Customers
12531,2011-11-25 11:12:00,2011-11-25 11:12:00,15,1,125.22,125.22,45,17,0,4,1,1,411,6,New Customers
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,30,1,349.83000000000004,349.83000000000004,153,16,0,4,1,2,412,7,New Customers
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,131,1,1089.18,1089.18,651,63,0,2,1,4,214,7,Big Spenders
12535,2011-06-06 12:47:00,2011-09-09 08:48:00,92,2,716.3499999999999,358.17499999999995,219,34,94,2,2,3,223,7,Regular Customers
12536,2011-10-11 14:52:00,2011-10-27 14:20:00,43,3,12601.830000000002,4200.610000000001,2803,261,15,3,3,5,335,11,Big Spenders
12538,2011-11-10 17:16:00,2011-11-10 17:16:00,29,1,363.95,363.95,191,21,0,4,1,2,412,7,New Customers
12539,2011-01-10 09:11:00,2011-11-17 13:30:00,22,4,5568.35,1392.0875,2067,273,311,4,4,5,445,13,Champions
12540,2010-12-13 09:39:00,2011-11-20 11:31:00,20,17,13400.24,788.2494117647059,6685,478,342,4,5,5,455,14,Champions
12541,2011-03-04 09:32:00,2011-11-10 10:40:00,30,3,981.1800000000001,327.06,680,52,251,4,3,4,434,11,Potential Loyalists
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,36,1,372.7,372.7,136,19,0,3,1,2,312,6,Regular Customers
12545,2011-03-25 12:04:00,2011-09-25 13:39:00,75,2,1000.39,500.195,523,50,184,2,2,4,224,8,Big Spenders
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,47,2,1161.5,580.75,633,69,31,3,2,4,324,9,Big Spenders
12547,2011-03-04 12:46:00,2011-05-26 12:38:00,198,2,207.8,103.9,134,8,82,1,2,1,121,4,Lost / Low Value
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,166,1,95.2,95.2,49,5,0,2,1,1,211,4,Lost / Low Value
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,79,1,964.83,964.83,569,57,0,2,1,4,214,7,Big Spenders
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,358,1,168.0,168.0,100,10,0,1,1,1,111,3,Lost / Low Value
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,39,2,437.82,218.91,88,20,0,3,2,2,322,7,Regular Customers
12553,2011-01-14 10:42:00,2011-12-01 16:38:00,8,10,3692.2799999999997,369.22799999999995,1965,191,321,5,5,5,555,15,Champions
12556,2011-07-11 13:35:00,2011-10-20 13:06:00,50,2,603.71,301.855,358,114,100,3,2,3,323,8,Regular Customers
12557,2010-12-03 12:20:00,2011-11-23 16:59:00,16,5,11990.960000000001,2398.192,4384,33,355,4,4,5,445,13,Champions
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,8,1,269.96,269.96,196,11,0,5,1,2,512,8,New Customers
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,311,2,561.71,280.855,283,21,8,1,2,3,123,6,Regular Customers
12560,2011-07-19 15:55:00,2011-12-04 13:54:00,5,3,2134.01,711.3366666666667,1110,105,137,5,3,5,535,13,Potential Loyalists
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,303,1,238.85,238.85,177,16,0,1,1,1,111,3,Lost / Low Value
12562,2011-05-25 12:44:00,2011-12-01 17:20:00,8,7,3781.74,540.2485714285714,1779,168,190,5,5,5,555,15,Champions
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,261,1,456.9,456.9,133,21,0,1,1,2,112,4,Lost / Low Value
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,289,1,145.92,145.92,80,9,0,1,1,1,111,3,Lost / Low Value
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,86,1,351.65,351.65,265,19,0,2,1,2,212,5,Lost / Low Value
12567,2010-12-05 11:57:00,2011-11-17 11:02:00,23,10,9401.28,940.128,4305,446,346,4,5,5,455,14,Champions
12569,2011-04-01 13:47:00,2011-12-07 16:24:00,2,32,4124.69,128.8965625,1801,188,250,5,5,5,555,15,Champions
12571,2011-08-10 12:35:00,2011-10-31 10:19:00,40,2,519.61,259.805,523,34,81,3,2,3,323,8,Regular Customers
12572,2011-10-19 08:20:00,2011-12-01 09:20:00,9,2,1020.4200000000001,510.21000000000004,452,60,43,5,2,4,524,11,New Customers
12573,2011-04-26 15:52:00,2011-04-26 15:52:00,227,1,160.54000000000002,160.54000000000002,84,26,0,1,1,1,111,3,Lost / Low Value
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,316,1,218.45,218.45,61,11,0,1,1,1,111,3,Lost / Low Value
12576,2011-02-08 11:31:00,2011-11-04 10:11:00,36,5,1315.83,263.166,967,88,268,3,4,4,344,11,Loyal Customers
12577,2010-12-15 16:21:00,2011-11-04 13:24:00,35,3,657.8,219.26666666666665,472,144,323,3,3,3,333,9,Regular Customers
12578,2011-01-13 15:34:00,2011-11-18 13:30:00,21,2,2794.51,1397.255,1196,114,308,4,2,5,425,11,New Customers
12579,2011-09-22 17:15:00,2011-09-22 17:15:00,78,1,440.42,440.42,285,29,0,2,1,2,212,5,Lost / Low Value
12580,2011-04-07 10:24:00,2011-04-07 10:24:00,247,1,415.7,415.7,238,24,0,1,1,2,112,4,Lost / Low Value
12581,2011-10-31 08:56:00,2011-10-31 08:56:00,40,1,197.71,197.71,161,15,0,3,1,1,311,5,Regular Customers
12582,2011-02-24 11:42:00,2011-04-15 08:45:00,239,2,511.36,255.68,300,22,49,1,2,3,123,6,Regular Customers
12583,2010-12-01 08:45:00,2011-12-07 08:07:00,3,15,7281.38,485.42533333333336,5060,247,370,5,5,5,555,15,Champions
12584,2011-03-04 15:15:00,2011-12-06 09:35:00,4,9,2338.15,259.7944444444445,416,96,276,5,5,5,555,15,Champions
12585,2010-12-23 12:58:00,2011-04-19 13:39:00,234,2,2040.1,1020.05,1279,87,117,1,2,4,124,7,Big Spenders
12586,2011-11-22 16:24:00,2011-11-22 16:24:00,17,1,196.94000000000003,196.94000000000003,79,11,0,4,1,1,411,6,New Customers
12587,2011-12-02 12:47:00,2011-12-02 12:47:00,8,1,144.0,144.0,51,4,0,5,1,1,511,7,New Customers
12588,2011-10-31 15:01:00,2011-10-31 15:01:00,39,1,214.9,214.9,53,10,0,3,1,1,311,5,Regular Customers
12589,2011-07-18 12:05:00,2011-11-11 10:19:00,29,2,646.6800000000001,323.34000000000003,306,35,115,4,2,3,423,9,New Customers
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,211,2,9864.26,4932.13,4283,68,0,1,2,5,125,8,Big Spenders
12591,2011-01-26 14:35:00,2011-01-26 14:35:00,317,1,452.85,452.85,228,26,0,1,1,2,112,4,Lost / Low Value
12592,2011-05-10 13:44:00,2011-09-08 15:04:00,92,2,437.6,218.8,290,18,121,2,2,2,222,6,Lost / Low Value
12593,2011-05-05 09:29:00,2011-08-23 12:43:00,109,3,418.1,139.36666666666667,206,21,110,2,3,2,232,7,At Risk
12594,2011-01-21 09:52:00,2011-11-02 12:20:00,38,10,3338.2200000000003,333.822,1777,118,285,3,5,5,355,13,Loyal Customers
12596,2011-04-11 13:22:00,2011-10-19 13:02:00,51,2,618.27,309.135,474,27,190,3,2,3,323,8,Regular Customers
12597,2011-03-16 14:00:00,2011-11-20 13:33:00,19,4,3811.22,952.805,2236,206,248,4,4,5,445,13,Champions
12598,2011-02-28 11:58:00,2011-11-30 12:18:00,10,8,3023.08,377.885,1964,132,275,5,5,5,555,15,Champions
12599,2011-02-08 13:28:00,2011-11-10 13:34:00,29,7,1032.58,147.51142857142855,956,62,275,4,5,4,454,13,Champions
12600,2010-12-03 12:57:00,2011-11-11 10:29:00,29,10,2599.04,259.904,774,64,342,4,5,5,455,14,Champions
12601,2011-01-11 10:38:00,2011-06-03 10:17:00,190,5,577.06,115.41199999999999,245,28,142,1,4,3,143,8,At Risk
12602,2011-10-12 11:22:00,2011-10-12 11:22:00,59,1,153.12,153.12,162,12,0,3,1,1,311,5,Regular Customers
